Country Name,Country Code,Year,Life Expectancy (Years),GDP/capita (USD),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Rate/100000),2005-1010 crime rate ratio,BLcode,sex,agefrom,ageto,Percentage of No Schooling Attained in Pop,Percentage of Primary Schooling Attained in Pop,Percentage of Complete Primary Schooling Attained in Pop,Percentage of Secondary Schooling Attained in Pop,Percentage of Complete Secondary Schooling Attained in Pop,Percentage of Tertiary Schooling Attained in Pop,Percentage of Complete Tertiary Schooling Attained in Pop,Average Years of Schooling Attained,Average Years of Primary Schooling Attained,Average Years of Secondary Schooling Attained,Average Years of Tertirary Schooling Attained,Population (1000s),region_code
Israel,ISR,2005,80.1512195121951,20585.1386127162,3.506303073026348,,89,MF,15,19,0.45,64.82,64.34,34.29,12.35,0.45,0.07,8.91,7.95,0.95,0.01,551,Middle East and North Africa
Israel,ISR,2010,81.6024390243903,30780.0238155167,2.509970554269563,0.7158452940302066,89,MF,15,19,0.48,7.81,7.29,91.4,34.14,0.31,0.05,9.75,5.96,3.78,0.01,576,Middle East and North Africa
Italy,ITA,2005,80.7829268292683,32055.0920757503,1.1440072770369134,,118,MF,15,19,0.24,1.97,1.97,97.8,13.72,0.0,0.0,8.61,4.99,3.62,0.0,2843,Advanced Economies
Italy,ITA,2010,82.0365853658537,36035.6449950691,0.9571536961159678,0.8366674892095844,118,MF,15,19,0.2,1.69,1.69,98.11,14.44,0.0,0.0,8.66,4.99,3.67,0.0,2833,Advanced Economies
Jamaica,JAM,2005,74.148,4103.6016371324,26.892106522092305,,59,MF,15,19,5.89,0.04,0.03,86.3,27.38,7.76,1.51,10.06,5.65,4.23,0.19,268,Latin America and the Caribbean
Jamaica,JAM,2010,74.038,4704.04775962425,18.97605504182713,0.7056366159429717,59,MF,15,19,10.47,0.04,0.03,81.37,26.85,8.11,1.57,8.95,5.37,3.38,0.19,284,Latin America and the Caribbean
Jordan,JOR,2005,72.595,2183.39464250953,4.177844212859547,,91,MF,15,19,7.04,7.17,6.57,84.14,19.22,1.64,0.0,9.44,5.56,3.85,0.03,588,Middle East and North Africa
Jordan,JOR,2010,73.428,3736.64546207921,3.367953268449265,0.8061462076739457,91,MF,15,19,0.88,10.01,9.25,89.11,19.29,0.0,0.0,9.87,5.92,3.95,0.0,641,Middle East and North Africa
Japan,JPN,2005,81.9251219512195,37812.8950199948,0.760057623948747,,90,MF,15,19,0.69,2.33,2.16,94.76,68.15,2.22,0.36,11.03,5.95,5.02,0.05,6568,Advanced Economies
Japan,JPN,2010,82.8426829268293,44968.1562349739,0.6365524519090369,0.8375055151765197,90,MF,15,19,0.87,2.38,2.22,96.75,70.16,0.0,0.0,10.95,5.94,5.01,0.0,6026,Advanced Economies
Kazakhstan,KAZ,2005,65.86,3771.27895733845,21.061175298489964,,312,MF,15,19,0.0,2.67,2.07,97.33,68.82,0.0,0.0,10.23,3.99,6.24,0.0,1596,Europe and Central Asia
Kazakhstan,KAZ,2010,68.45,9070.48825285747,13.891220623651744,0.659565310424424,312,MF,15,19,0.1,6.98,5.63,83.71,59.03,9.22,1.79,10.2,3.97,6.01,0.22,1220,Europe and Central Asia
Kenya,KEN,2005,54.732,511.616394301253,9.60862813839526,,21,MF,15,19,13.39,53.75,16.98,32.45,4.77,0.42,0.08,5.93,4.78,1.14,0.01,4198,Sub-Saharan Africa
Kenya,KEN,2010,60.959,1080.29618449063,9.705305114899856,1.010061475489751,21,MF,15,19,6.78,72.85,15.82,20.02,4.17,0.35,0.07,4.48,3.88,0.59,0.01,4154,Sub-Saharan Africa
Cambodia,KHM,2005,63.088,474.111192071079,3.409315316319762,,310,MF,15,19,16.89,65.14,32.66,17.44,1.47,0.53,0.1,4.8,4.01,0.78,0.01,1722,East Asia and the Pacific
Cambodia,KHM,2010,66.56,785.50266705782,3.406697424978542,0.9992321357521,310,MF,15,19,7.38,65.98,39.4,25.62,1.99,1.03,0.2,5.67,4.76,0.89,0.02,1720,East Asia and the Pacific
Kuwait,KWT,2005,73.538,35591.0371337921,2.037600225187909,,93,MF,15,19,0.18,47.86,36.14,51.95,5.46,0.0,0.0,6.05,3.76,2.3,0.0,189,Middle East and North Africa
Kuwait,KWT,2010,74.358,38577.4982788212,1.0376678530668446,0.5092597852314971,93,MF,15,19,0.2,60.98,47.98,38.82,9.69,0.0,0.0,5.67,3.73,1.94,0.0,204,Middle East and North Africa
Liberia,LBR,2005,55.393,294.893220066163,2.2563990051522302,,23,MF,15,19,45.09,39.46,21.22,12.77,3.07,2.68,0.37,3.44,2.75,0.64,0.06,362,Sub-Saharan Africa
Liberia,LBR,2010,59.6,513.44556667507,2.65558106291714,1.176911112287066,23,MF,15,19,28.4,60.74,36.26,10.6,2.64,0.18,0.03,3.97,3.56,0.41,0.0,407,Sub-Saharan Africa
Sri Lanka,LKA,2005,74.695,1248.69818517034,6.036672731106384,,101,MF,15,19,2.12,6.79,5.02,82.03,55.52,9.06,1.76,11.82,4.85,6.76,0.22,1788,South Asia
Sri Lanka,LKA,2010,75.439,2799.64873802555,3.848390687292144,0.6375019582330119,101,MF,15,19,0.8,2.55,1.96,81.94,26.73,14.7,2.85,10.82,4.94,5.52,0.35,1722,South Asia
Lesotho,LSO,2005,42.658,842.812630961302,36.10122571465961,,22,MF,15,19,5.6,47.44,17.55,46.36,46.08,0.6,0.12,7.92,5.56,2.34,0.01,244,Sub-Saharan Africa
Lesotho,LSO,2010,45.1,1119.84364083093,35.80832000884451,0.991886544015702,22,MF,15,19,4.35,79.32,28.1,16.31,5.16,0.03,0.01,5.5,4.9,0.59,0.0,232,Sub-Saharan Africa
Lithuania,LTU,2005,71.2536585365854,7854.76527867855,12.118311181311954,,325,MF,15,19,0.3,42.26,41.94,57.44,11.69,0.0,0.0,7.2,3.98,3.22,0.0,284,Europe and Central Asia
Lithuania,LTU,2010,73.2682926829268,11987.508411647,8.560909534632973,0.7064441081390147,325,MF,15,19,0.0,38.45,38.27,61.55,13.48,0.0,0.0,7.96,4.0,3.96,0.0,245,Europe and Central Asia
Luxembourg,LUX,2005,79.4317073170732,80988.1376230858,1.3851960223711637,,119,MF,15,19,3.39,37.51,34.7,58.7,7.39,0.21,0.03,7.78,5.7,2.07,0.0,26,Advanced Economies
Luxembourg,LUX,2010,80.6317073170732,110885.991378721,1.186796798903982,0.8567717346404418,119,MF,15,19,3.11,32.19,29.96,64.69,8.44,0.0,0.0,8.02,5.75,2.28,0.0,30,Advanced Economies
Latvia,LVA,2005,71.3560975609756,7594.90238431362,12.0815047278209,,324,MF,15,19,0.09,6.65,6.13,93.22,29.57,0.04,0.01,9.54,3.99,5.55,0.0,185,Europe and Central Asia
Latvia,LVA,2010,73.4829268292683,11420.9940032836,8.369335834498418,0.6927395240119206,324,MF,15,19,1.47,7.4,6.78,87.28,28.8,3.84,0.74,9.56,3.93,5.54,0.09,141,Europe and Central Asia
